🇨🇳河南地方,#genre#
河南卫视,http://tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=028939e234204c2b49fd98cb1006b4c1&wsTime=1788696233
新闻频道,http://tvcdn.stream3.hndt.com/tv/65bb6966017e100059b75a8500000000_transios/playlist.m3u8?wsSecret=589cabf9bc67d1dcdb021fcea8c70fdf&wsTime=1788696233
都市频道,http://tvcdn.stream3.hndt.com/tv/65c3fbc5017e1000fde13faa00000000_transios/playlist.m3u8?wsSecret=e60e0e3d7490997ab6e040917f098ac7&wsTime=1788696233
民生频道,http://tvcdn.stream3.hndt.com/tv/65bef28a017e10009c49d5f900000000_transios/playlist.m3u8?wsSecret=c03975712bd4eed810a4d4ccf74f042c&wsTime=1788696233
法治频道,http://tvcdn.stream3.hndt.com/tv/65be54a9017e1000af59fb4800000000_transios/playlist.m3u8?wsSecret=664dd6c476f78b71baefc8f06078bfb1&wsTime=1788696233
公共频道,http://tvcdn.stream3.hndt.com/tv/65b93894017e10000ae6b07d00000000_transios/playlist.m3u8?wsSecret=b2629de797fd9f1f6e29afb1254e9322&wsTime=1788696233
河南乡村频道,http://tvcdn.stream3.hndt.com/tv/65b8302b017e100019dc540f00000000_transios/playlist.m3u8?wsSecret=400bdf00f9ec7e566f51736225e0f6a2&wsTime=1788696233
电视剧频道,http://tvcdn.stream3.hndt.com/tv/65bd329b017e1000648cd2ed00000000_transios/playlist.m3u8?wsSecret=9973623bcdbc2777f5062a2e005609e9&wsTime=1788696233
梨园频道,https://dxtx.hntv.tv/live/lypd.m3u8?txSecret=10c771842a0be59e8b575d765173ec96&txTime=7B923E0A&wsSecret=553dbe35640e001fb48a0434db55257d&wsTime=1788696233
文物宝库,https://dxtx.hntv.tv/live/wwbk.m3u8?txSecret=317b89626134fd6bea6e129455b5ff18&txTime=7C4C635C&wsSecret=c2ab4379ec87a589889568837a38edb6&wsTime=1788696233
