更新时间: 2026-09-06 21:29:25（北京时间）仅供娱乐，切勿商用。

更新时间,#genre#
2026-09-06 21:29:25,http://kakaxi.indevs.in/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://60.168.105.200:5008/608807420$仅供娱乐
CCTV1,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=5fa753b12bfef7ea04bb7c60fee019af&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260906212042&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=39.103.188.159&SecurityKey=20260906212042&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=d1e6a8fa3314fff8b30b7d7fae229b7e&ddCalcu=ed71vbea96y2aa28efaaf373d174bf0f3fb8&sv=10004&ct=android$切勿商用
CCTV1,http://116.52.173.236:1234/608807420$追责自负
CCTV1,http://117.63.79.167:1234/608807420$免费分享
CCTV1,http://110.154.192.90:7788/608807420
CCTV1,http://27.12.12.92:1234/608807420
CCTV1,https://itv.1920.qzz.io/api/ysp.php?id=cctv1
CCTV2,http://117.63.79.167:1234/631780532
CCTV2,http://110.154.192.90:7788/631780532
CCTV2,http://60.168.105.200:5008/631780532
CCTV2,http://116.52.173.236:1234/631780532
CCTV2,http://27.12.12.92:1234/631780532
CCTV2,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=13467f5aba5bcd99f5e6c91f6d219dae&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20260906212042&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=39.103.188.159&SecurityKey=20260906212042&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=37f8b35b9b2c65deb74fb0a65ed9ed10&ddCalcu=0317vdfae8z9bad3e55b69ab02bcf6457dbe&sv=10004&ct=android
CCTV2,https://itv.1920.qzz.io/api/ysp.php?id=cctv2
CCTV3,http://110.154.192.90:7788/624878271
CCTV3,http://116.52.173.236:1234/624878271
CCTV3,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=36768860b748428c46acb9d691bc0d82&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20260906212042&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=39.103.188.159&SecurityKey=20260906212042&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=5d508b970d1f9906060da24dc2b9afc4&ddCalcu=45cdvf5aa0a98abb29c7d04d21afd9096006&sv=10004&ct=android
CCTV3,http://117.63.79.167:1234/624878271
CCTV3,http://27.12.12.92:1234/624878271
CCTV3,http://60.168.105.200:5008/624878271
CCTV3,https://itv.1920.qzz.io/api/ysp.php?id=cctv3
CCTV4,http://117.63.79.167:1234/631780421
CCTV4,http://116.52.173.236:1234/631780421
CCTV4,http://110.154.192.90:7788/631780421
CCTV4,http://60.168.105.200:5008/631780421
CCTV4,http://27.12.12.92:1234/631780421
CCTV4,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=6002f9e9b978547d05bafaaa9baf6986&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20260906212042&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=39.103.188.159&SecurityKey=20260906212042&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=393b93bb920321c54ffc892235a2ccca&ddCalcu=a3c9vc3acby29aa35b3b29229083c2f1fc45&sv=10004&ct=android
CCTV4,https://itv.1920.qzz.io/api/ysp.php?id=cctv4
CCTV4欧洲,http://110.154.192.90:7788/608807419
CCTV4欧洲,http://27.12.12.92:1234/608807419
CCTV4欧洲,http://117.63.79.167:1234/608807419
CCTV4欧洲,http://116.52.173.236:1234/608807419
CCTV4欧洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?msisdn=2ab20b8d71eb66917a4f1f152ea15de2&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20260906212048&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=39.103.188.159&SecurityKey=20260906212048&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=25fd843dabf6b7f812b957ac63960a34&ddCalcu=4235vafa0dy68a94336dcaab7f569bb72f18&sv=10004&ct=android
CCTV4欧洲,http://60.168.105.200:5008/608807419
CCTV4美洲,http://60.168.105.200:5008/608807416
CCTV4美洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4meihd/51/index.m3u8?msisdn=a3b75c92d5c9b80764238961b54e58d4&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20260906212047&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=39.103.182.111&SecurityKey=20260906212047&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=682f12ea41e2e05c8506cc1eba31a9b8&ddCalcu=86b8v92aafy11a32aebae411cec26e00558c&sv=10004&ct=android
CCTV4美洲,http://117.63.79.167:1234/608807416
CCTV4美洲,http://110.154.192.90:7788/608807416
CCTV4美洲,http://116.52.173.236:1234/608807416
CCTV4美洲,http://27.12.12.92:1234/608807416
CCTV5,http://117.63.79.167:1234/641886683
CCTV5,http://60.168.105.200:5008/641886683
CCTV5,http://27.12.12.92:1234/641886683
CCTV5,http://116.52.173.236:1234/641886683
CCTV5,http://110.154.192.90:7788/641886683
CCTV5,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=6002f9e9b978547d05bafaaa9baf6986&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20260906212042&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=39.103.182.111&SecurityKey=20260906212042&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=f0d80a1571ac62cfc43ddb087da5857c&ddCalcu=cf70v5da88w50aaad1758701badcd6324ccf&sv=10004&ct=android
CCTV5,https://itv.1920.qzz.io/api/ysp.php?id=cctv5
CCTV5+,http://117.63.79.167:1234/641886773
CCTV5+,http://27.12.12.92:1234/641886773
CCTV5+,http://60.168.105.200:5008/641886773
CCTV5+,http://110.154.192.90:7788/641886773
CCTV5+,http://116.52.173.236:1234/641886773
CCTV5+,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=9a5e14d516acda84ccf0a4632dc04209&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20260906212044&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=39.103.182.111&SecurityKey=20260906212044&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=ca285fc1f0ededa67dbfac39232ea61d&ddCalcu=dc1av62aa8xe5a2f3c219f30ceadfebdda76&sv=10004&ct=android
CCTV5+,https://itv.1920.qzz.io/api/ysp.php?id=cctv5p
CCTV6,http://60.168.105.200:5008/624878396
CCTV6,http://27.12.12.92:1234/624878396
CCTV6,http://117.63.79.167:1234/624878396
CCTV6,http://110.154.192.90:7788/624878396
CCTV6,http://116.52.173.236:1234/624878396
CCTV6,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=f09ab9182550a29390c81a8326ff8af8&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20260906212044&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=39.103.188.159&SecurityKey=20260906212044&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=64968dca2f76ec3c1b4a0c865ef5f47e&ddCalcu=e674v49af6b58afdec5a628fc706ae4cb31c&sv=10004&ct=android
CCTV6,https://itv.1920.qzz.io/api/ysp.php?id=cctv6
